episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
380,1.0,4.631476246943953,-2.182546843411662,85.22544227438179,0.0,1.3333333333333333,6,0.0,False,True,0.32223079934468224,1,43.486743799168835,957.483,prepare,0.0
380,2.0,4.631544932449016,-2.1824394595633656,85.21119004425364,15.0,2.6666666666666665,10,2.0,False,True,0.3224901029902959,1,43.486743799168835,957.545,in_progress,0.0
380,3.0,4.631844451484108,-2.176019591261615,85.20870011138017,-15.0,1.3333333333333333,3,2.0,False,True,0.3372587041917566,1,43.486743799168835,957.602,in_progress,0.0
380,4.0,4.63175464973133,-2.1562019051030217,85.5386044569219,15.0,2.6666666666666665,10,2.0,False,True,0.38265284197503036,1,43.486743799168835,957.643,in_progress,0.0
380,5.0,4.632618183291394,-2.1152903299387646,86.00564249095669,-15.0,1.3333333333333333,3,2.0,False,True,0.4765665303875045,1,43.486743799168835,957.742,in_progress,0.0
380,6.0,4.6344928474319085,-2.07019743930972,86.2425675749002,-15.0,2.6666666666666665,4,2.0,False,True,0.58012714518833,1,43.486743799168835,957.799,in_progress,0.0
380,7.0,4.636827188144791,-2.0015556023228895,86.74236510088888,-15.0,2.6666666666666665,4,2.0,False,True,0.7377926529905311,1,43.486743799168835,957.874,in_progress,0.0
380,8.0,4.64280506350289,-1.9254935813095884,86.38695368185083,-15.0,1.3333333333333333,3,2.0,False,True,0.9132229071787625,2,43.486743799168835,957.94,in_progress,0.0
380,9.0,4.653115634759044,-1.84911446265258,85.19886931808485,-30.0,2.6666666666666665,1,2.0,False,True,1.0903005220414435,2,43.486743799168835,958.002,in_progress,0.0
380,10.0,4.669809316338497,-1.7546272351415508,83.26064895392375,-15.0,2.6666666666666665,4,2.0,False,True,1.3102014208292596,2,43.486743799168835,958.076,in_progress,0.0
380,11.0,4.701801404448797,-1.64030169914862,79.34834013049654,15.0,1.3333333333333333,9,2.0,False,True,1.578496225013528,3,43.486743799168835,958.143,in_progress,0.0
380,12.0,4.7375562060807725,-1.5335600202247797,76.15512849961357,30.0,2.6666666666666665,13,2.0,False,True,1.829757386021575,3,43.486743799168835,958.209,in_progress,0.0
380,13.0,4.770468258336655,-1.411439536604171,75.67187887396851,0.0,1.3333333333333333,6,2.0,False,True,2.115901818818412,4,43.486743799168835,958.28,in_progress,0.0
380,14.0,4.7979278216694565,-1.2812216948605915,76.84222570632295,15.0,2.6666666666666665,10,2.0,False,True,2.4197494710635694,4,43.486743799168835,958.346,in_progress,0.0
