episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,4.631538466520054,-2.1825456324816033,85.19133497403992,0.0,4.0,8,0.0,False,True,0.3222455657589868,1,43.486743799168835,24.074,prepare,0.0
0,2.0,4.631519024410481,-2.1826785743278347,85.19227168293429,0.0,4.0,8,2.0,False,True,0.32193718767850293,1,43.486743799168835,24.155,in_progress,0.0
0,3.0,4.631678088412072,-2.172829621460212,85.32478753614703,15.0,1.3333333333333333,9,2.0,False,True,0.3445363307843533,1,43.486743799168835,24.222,in_progress,0.0
0,4.0,4.633126827065439,-2.1538736130564726,85.27281477961195,30.0,1.3333333333333333,12,2.0,False,True,0.3882524918026399,1,43.486743799168835,24.287,in_progress,0.0
0,5.0,4.629016087416472,-2.1149784981489574,87.04245783997045,0.0,2.6666666666666665,7,2.0,False,True,0.47658684659024686,1,43.486743799168835,24.359,in_progress,0.0
0,6.0,4.623518830542168,-2.0674482988418674,88.85042250039113,15.0,1.3333333333333333,9,2.0,False,True,0.5840883387651232,1,43.486743799168835,24.429,in_progress,0.0
0,7.0,4.612504052672086,-2.004483063328331,91.61649289889576,-15.0,4.0,5,2.0,False,True,0.7259175879952001,1,43.486743799168835,24.487,in_progress,0.0
0,8.0,4.595514354989442,-1.9241589443272555,94.88021062580931,30.0,1.3333333333333333,12,2.0,False,True,0.9062229482878292,2,43.486743799168835,24.555,in_progress,0.0
0,9.0,4.573231824313033,-1.8335646208679652,98.05558488259624,30.0,2.6666666666666665,13,2.0,False,True,1.1089185181273342,2,43.486743799168835,24.612,in_progress,0.0
0,10.0,4.546894379413909,-1.7550452385553452,101.43591538953709,0.0,1.3333333333333333,6,1.5,False,True,1.2846878485452689,2,43.486743799168835,24.688,in_progress,0.0
0,11.0,4.501681015454935,-1.651404872093272,106.46719140340402,15.0,2.6666666666666665,10,1.5,False,True,1.5130803305399418,3,43.486743799168835,24.76,in_progress,0.0
0,12.0,4.456192989140301,-1.5644172287492109,110.68691981055454,30.0,1.3333333333333333,12,1.5,False,True,1.7032689389121491,3,43.486743799168835,24.819,in_progress,0.0
0,13.0,4.399664178004636,-1.4822404157081401,116.27018416541273,15.0,1.3333333333333333,9,1.1,False,True,1.882729896035338,3,43.486743799168835,24.886,in_progress,0.0
0,14.0,4.331740069945384,-1.4022504451760673,121.75365928496467,0.0,2.6666666666666665,7,1.1,False,True,2.053041261839646,4,43.486743799168835,24.956,in_progress,0.0
0,15.0,4.254314305841857,-1.3222393981198959,126.76453444170049,30.0,1.3333333333333333,12,1.1,False,True,2.221583488681985,4,43.486743799168835,25.021,in_progress,0.0
0,16.0,4.175367739168384,-1.2559702169212195,131.82301411374647,-15.0,4.0,5,0.001,False,False,2.357179806237369,4,43.486743799168835,25.09,in_progress,0.0
0,17.0,4.069088597952462,-1.179063682456762,137.63121848542295,0.0,4.0,8,0.001,False,False,2.512844335770661,4,43.486743799168835,25.159,in_progress,0.0
0,18.0,3.9690344324379514,-1.1178405308456416,142.43488739801867,-15.0,4.0,5,0.001,False,False,2.633776144601649,5,43.486743799168835,25.225,in_progress,0.0
0,19.0,3.847506484289077,-1.0479974777358303,146.31935051902474,30.0,1.3333333333333333,12,0.001,True,False,2.770305610579917,5,43.486743799168835,25.29,off_track,0.0
1,1.0,4.816463152984438,-0.015915860841665602,85.26835808462953,-30.0,2.6666666666666665,1,0.0,False,True,0.3226582693057242,9,43.486743799168835,25.413,prepare,0.0
1,2.0,4.816638299144721,-0.016245428906004,85.24827970682539,30.0,2.6666666666666665,13,2.0,False,True,0.3219370608445009,9,43.486743799168835,25.488,in_progress,0.0
1,3.0,4.817447680417153,-0.00702608520900172,85.15831147192674,30.0,2.6666666666666665,13,2.0,False,True,0.3432188509758016,9,43.486743799168835,25.56,in_progress,0.0
1,4.0,4.814397988680313,0.017013398843991348,86.38642498300847,15.0,1.3333333333333333,9,2.0,False,True,0.3977109131826966,9,43.486743799168835,25.616,in_progress,0.0
1,5.0,4.805846779286576,0.0567815427577177,88.9400366448861,-30.0,4.0,2,2.0,False,True,0.4871766057661431,9,43.486743799168835,25.675,in_progress,0.0
1,6.0,4.796311680698127,0.1046713423863627,91.53622259208649,-30.0,4.0,2,2.0,False,True,0.5950612534480405,10,43.486743799168835,25.759,in_progress,0.0
1,7.0,4.789707013919614,0.16608415109902389,92.72456579016296,-15.0,1.3333333333333333,3,2.0,False,True,0.734500134513446,10,43.486743799168835,25.821,in_progress,0.0
1,8.0,4.784137978700496,0.2409185323329409,93.34317133685707,15.0,2.6666666666666665,10,2.0,False,True,0.9047513991954845,10,43.486743799168835,25.889,in_progress,0.0
