episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,4.631320058135609,-2.182517049661372,85.26083184941078,30.0,2.6666666666666665,13,0.0,False,True,0.32226896818790934,1,43.486743799168835,187.194,prepare,0.0
80,2.0,4.631519024410486,-2.1826785743277672,85.19227168293418,0.0,4.0,8,2.0,False,True,0.3219371876785032,1,43.486743799168835,187.256,in_progress,0.0
80,3.0,4.631718172439448,-2.173075915319124,85.32960231654135,-15.0,1.3333333333333333,3,2.0,False,True,0.3439796835493559,1,43.486743799168835,187.324,in_progress,0.0
80,4.0,4.6343063236676905,-2.1481823388681645,84.75939907253661,-15.0,1.3333333333333333,3,2.0,False,True,0.40152114694967334,1,43.486743799168835,187.385,in_progress,0.0
80,5.0,4.637085190322023,-2.11114251954156,84.8849646622898,30.0,1.3333333333333333,12,2.0,False,True,0.4869320029977287,1,43.486743799168835,187.461,in_progress,0.0
80,6.0,4.637613741323871,-2.0526905632983556,85.92854826457678,30.0,1.3333333333333333,12,2.0,False,True,0.6208762444230197,1,43.486743799168835,187.529,in_progress,0.0
80,7.0,4.63408303827969,-1.9871093324371434,87.76398596864371,15.0,2.6666666666666665,10,2.0,False,True,0.770286745577987,1,43.486743799168835,187.579,in_progress,0.0
80,8.0,4.627454819212018,-1.9177860352271674,89.85012870551778,0.0,2.6666666666666665,7,2.0,False,True,0.9276067972586401,2,43.486743799168835,187.653,in_progress,0.0
80,9.0,4.617514393819359,-1.8359177399642372,92.1173172749464,0.0,1.3333333333333333,6,2.0,False,True,1.1129468103356148,2,43.486743799168835,187.719,in_progress,0.0
80,10.0,4.605835299396889,-1.7430143585601157,93.84914759665412,-15.0,1.3333333333333333,3,2.0,False,True,1.324024106293809,2,43.486743799168835,187.788,in_progress,0.0
80,11.0,4.592706801088267,-1.640622029733903,95.16523887903284,-30.0,1.3333333333333333,0,2.0,False,True,1.555967437947166,3,43.486743799168835,187.86,in_progress,0.0
80,12.0,4.583956327556495,-1.553061584646828,95.31611184948996,0.0,1.3333333333333333,6,2.0,False,True,1.7556879933282432,3,43.486743799168835,187.92,in_progress,0.0
80,13.0,4.5768010178090455,-1.4585864999729514,94.97306012852746,0.0,2.6666666666666665,7,1.5,False,True,1.9708167967420402,3,43.486743799168835,187.99,in_progress,0.0
80,14.0,4.567196111026236,-1.3378265578412203,94.69075132914105,30.0,4.0,14,1.5,False,True,2.2457109681523733,4,43.486743799168835,188.054,in_progress,0.0
80,15.0,4.561522345128355,-1.2461866913784645,94.27194616805848,-15.0,4.0,5,1.5,False,True,2.4542973181795467,4,43.486743799168835,188.138,in_progress,0.0
80,16.0,4.546214399871904,-1.1046688757540897,95.22535295506894,15.0,4.0,11,1.5,False,True,2.775610049747681,5,43.486743799168835,188.189,in_progress,0.0
80,17.0,4.5296971640436405,-0.9739984739746661,96.14493204174148,-15.0,1.3333333333333333,3,1.5,False,True,3.071342076179372,5,43.486743799168835,188.262,in_progress,0.0
80,18.0,4.507811351807561,-0.8191029160945075,97.56095642485839,0.0,4.0,8,1.5,False,True,3.421952773222477,6,43.486743799168835,188.317,in_progress,0.0
80,19.0,4.49497454763583,-0.6913342725109919,96.70669176111713,0.0,4.0,8,1.5,False,True,3.712631943793644,6,43.486743799168835,188.389,in_progress,0.0
80,20.0,4.470014934397392,-0.5192338738150751,97.63530781548478,-30.0,4.0,2,1.1,False,True,4.1030563677561,7,43.486743799168835,188.451,in_progress,0.0
80,21.0,4.444565958204909,-0.35143777554615063,98.14390291359149,0.0,4.0,8,1.1,False,True,4.4827148644597745,8,43.486743799168835,188.523,in_progress,0.0
80,22.0,4.425942459765515,-0.17918318128196276,96.96682535899934,-15.0,4.0,5,1.1,False,True,4.8741173849778505,8,43.486743799168835,188.582,in_progress,0.0
80,23.0,4.413513233024562,0.039946695429812884,94.21285491713587,15.0,4.0,11,1.1,False,True,5.372546906699772,9,43.486743799168835,188.65,in_progress,0.0
80,24.0,4.4139886183560355,0.23275557899013588,91.23268180357663,-30.0,1.3333333333333333,0,1.1,False,True,5.813326903325126,10,43.486743799168835,188.722,in_progress,0.0
80,25.0,4.42989898487541,0.459876138239689,86.75051245303366,-15.0,4.0,5,1.1,False,True,6.336818487673934,11,43.486743799168835,188.787,in_progress,0.0
80,26.0,4.451038258801815,0.6496340354351055,84.8650945214695,30.0,4.0,14,1.1,False,True,6.777311643388606,12,43.486743799168835,188.854,in_progress,0.0
80,27.0,4.479013374927329,0.867554113739837,83.2688140104168,-15.0,4.0,5,1.1,False,True,7.282716906288575,13,43.486743799168835,188.926,in_progress,0.0
80,28.0,4.509606801676462,1.1003962411703463,82.63207379617316,-30.0,2.6666666666666665,1,1.1,False,True,7.822142319584879,14,43.486743799168835,189.002,in_progress,0.0
