episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
120,1.0,4.631568915655262,-2.182283059781352,85.18952940789865,0.0,1.3333333333333333,6,0.0,False,True,0.32285310921316257,1,43.486743799168835,284.064,prepare,0.0
120,2.0,4.63151902441049,-2.182678574327729,85.19227168293429,0.0,1.3333333333333333,6,2.0,False,True,0.3219371876785026,1,43.486743799168835,284.138,in_progress,0.0
120,3.0,4.633295619682156,-2.172422858638703,84.95591408890998,0.0,2.6666666666666665,7,2.0,False,True,0.3457801594703588,1,43.486743799168835,284.202,in_progress,0.0
120,4.0,4.634759453502008,-2.1477250857019743,85.14222666107517,0.0,4.0,8,2.0,False,True,0.4026562565015293,1,43.486743799168835,284.27,in_progress,0.0
120,5.0,4.636764371878378,-2.1092699866171523,85.3405963855393,0.0,1.3333333333333333,6,2.0,False,True,0.4911610067314806,1,43.486743799168835,284.331,in_progress,0.0
120,6.0,4.641500888563758,-2.0490618741865365,85.45274521547212,-15.0,4.0,5,2.0,False,True,0.6300114109721842,1,43.486743799168835,284.417,in_progress,0.0
120,7.0,4.652176805546255,-1.9695801423892723,84.40400949555159,-15.0,4.0,5,2.0,False,True,0.8142707625029725,1,43.486743799168835,284.467,in_progress,0.0
120,8.0,4.666327497041585,-1.8966822549178226,82.79222103566755,-15.0,1.3333333333333333,3,2.0,False,True,0.9841939678476304,2,43.486743799168835,284.53,in_progress,0.0
120,9.0,4.687848934530839,-1.8094010003865828,80.56677472727296,30.0,1.3333333333333333,12,2.0,False,True,1.1883265373356477,2,43.486743799168835,284.609,in_progress,0.0
120,10.0,4.713265179163662,-1.7126390605933919,78.6134286190643,30.0,4.0,14,2.0,False,True,1.415071936211571,2,43.486743799168835,284.669,in_progress,0.0
120,11.0,4.731425940486909,-1.624880424333784,78.55613538868175,15.0,4.0,11,2.0,False,True,1.61974255448659,3,43.486743799168835,284.741,in_progress,0.0
120,12.0,4.749542240933513,-1.5179922597581386,79.25035043326571,0.0,1.3333333333333333,6,2.0,False,True,1.867724831235696,3,43.486743799168835,284.799,in_progress,0.0
120,13.0,4.767603079330004,-1.4068254251071592,80.0146195255531,0.0,1.3333333333333333,6,2.0,False,True,2.125927395914137,4,43.486743799168835,284.866,in_progress,0.0
120,14.0,4.784832253040048,-1.3047317111898422,80.14871955732906,-15.0,4.0,5,2.0,False,True,2.363345344004231,4,43.486743799168835,284.931,in_progress,0.0
120,15.0,4.804503485751129,-1.1928611500308017,80.00919487108506,-15.0,4.0,5,2.0,False,True,2.6234908809065813,5,43.486743799168835,284.997,in_progress,0.0
120,16.0,4.834107603606386,-1.0804686934443282,77.95133819528029,0.0,2.6666666666666665,7,2.0,False,True,2.886753752546874,5,43.486743799168835,285.059,in_progress,0.0
120,17.0,4.880089149222458,-0.9347481002841268,74.96749232352508,15.0,4.0,11,1.5,False,True,3.229887264384184,6,43.486743799168835,285.128,in_progress,0.0
120,18.0,4.921163237077729,-0.8052408413208998,73.78448553095956,-15.0,1.3333333333333333,3,1.5,False,True,3.5343683337175102,6,43.486743799168835,285.207,in_progress,0.0
120,19.0,4.972033821637278,-0.6396148103086918,73.55513675014492,-15.0,1.3333333333333333,3,1.5,False,True,3.9237497279267592,7,43.486743799168835,285.271,in_progress,0.0
120,20.0,5.012702557379989,-0.5268116424100522,72.07269573690658,-15.0,1.3333333333333333,3,1.5,False,True,4.1893884770871015,7,43.486743799168835,285.323,in_progress,0.0
120,21.0,5.060615627580528,-0.40989873918438624,70.10565990381087,15.0,2.6666666666666665,10,1.1,False,True,4.466461208248237,8,43.486743799168835,285.388,in_progress,0.0
120,22.0,5.119795383361292,-0.2836746399988327,67.53434756794778,-15.0,2.6666666666666665,4,1.1,False,True,4.766832173307081,8,43.486743799168835,285.465,in_progress,0.0
120,23.0,5.176771494060463,-0.16728026836095913,65.8181473371042,15.0,1.3333333333333333,9,1.1,False,True,5.0444204907699595,9,43.486743799168835,285.533,in_progress,0.0
120,24.0,5.238148681923285,-0.048633832105057256,64.24749117959946,-30.0,1.3333333333333333,0,1.1,False,True,5.329434291660135,9,43.486743799168835,285.598,in_progress,0.0
120,25.0,5.298154895115028,0.060327061045223965,62.86303781218007,-30.0,1.3333333333333333,0,1.1,False,True,5.590735926971369,10,43.486743799168835,285.661,in_progress,0.0
120,26.0,5.358783355401348,0.15246996443980432,60.34277120423141,15.0,1.3333333333333333,9,0.001,False,False,5.815001708776857,10,43.486743799168835,285.739,in_progress,0.0
120,27.0,5.426293999297599,0.2410121246168631,57.227412664690284,-30.0,1.3333333333333333,0,0.001,False,False,6.031128067526572,10,43.486743799168835,285.798,in_progress,0.0
120,28.0,5.48933544563259,0.31729400488120046,54.739345818063384,-30.0,1.3333333333333333,0,0.001,False,False,6.218286320927484,11,43.486743799168835,285.87,in_progress,0.0
120,29.0,5.556596180353717,0.3880279682878774,51.72811814867289,0.0,2.6666666666666665,7,0.001,False,False,6.390927873920868,11,43.486743799168835,285.937,in_progress,0.0
120,30.0,5.639338585016247,0.46157895466552634,47.6039706630764,15.0,4.0,11,0.001,True,False,6.575414140674899,11,43.486743799168835,286.006,off_track,0.0
121,1.0,4.816704209041351,-0.016161085013770365,85.23077064198758,0.0,1.3333333333333333,6,0.0,False,True,0.32214310036884075,9,43.486743799168835,286.115,prepare,0.0
121,2.0,4.8169044946999735,-0.015863326445421294,85.20299287525295,-15.0,2.6666666666666665,4,2.0,False,True,0.322864200096562,9,43.486743799168835,286.199,in_progress,0.0
