episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
260,1.0,4.631466455933411,-2.18242938882578,85.22088675396692,0.0,2.6666666666666665,7,0.0,False,True,0.32249805486362804,1,43.486743799168835,649.52,prepare,0.0
260,2.0,4.631519024410501,-2.182678574327594,85.19227168293435,-15.0,4.0,5,2.0,False,True,0.3219371876785033,1,43.486743799168835,649.585,in_progress,0.0
260,3.0,4.631026512148035,-2.1729337067876613,85.45061725425985,30.0,1.3333333333333333,12,2.0,False,True,0.3441722446936817,1,43.486743799168835,649.663,in_progress,0.0
260,4.0,4.6304956991118615,-2.1514805930815375,86.23863393818388,-15.0,2.6666666666666665,4,2.0,False,True,0.39322890376596614,1,43.486743799168835,649.722,in_progress,0.0
260,5.0,4.629570993962002,-2.1144349260352517,87.02643207494324,15.0,4.0,11,2.0,False,True,0.47793936808625764,1,43.486743799168835,649.785,in_progress,0.0
260,6.0,4.628866824757004,-2.0648598443246944,87.69017847755885,-15.0,4.0,5,2.0,False,True,0.5911523152317757,1,43.486743799168835,649.846,in_progress,0.0
260,7.0,4.629143604078003,-1.9979180349911951,88.21268455783448,30.0,2.6666666666666665,13,2.0,False,True,0.7444877527285833,1,43.486743799168835,649.918,in_progress,0.0
260,8.0,4.62766759105457,-1.9264675424601194,89.0607706807134,-15.0,4.0,5,2.0,False,True,0.9077740039184258,2,43.486743799168835,649.984,in_progress,0.0
260,9.0,4.623075582697846,-1.8194463716874405,90.3938056084289,0.0,4.0,8,2.0,False,True,1.1518438119714653,2,43.486743799168835,650.054,in_progress,0.0
260,10.0,4.618206984300869,-1.7145852599543294,91.21932323550479,0.0,2.6666666666666665,7,2.0,False,True,1.391622715138509,2,43.486743799168835,650.116,in_progress,0.0
260,11.0,4.60704191561148,-1.5760034655345163,92.87461171906746,-15.0,2.6666666666666665,4,2.0,False,True,1.7068631793013427,3,43.486743799168835,650.175,in_progress,0.0
260,12.0,4.599282377473231,-1.4406895874807568,92.94102089677091,30.0,4.0,14,2.0,False,True,2.0161291881646375,3,43.486743799168835,650.256,in_progress,0.0
260,13.0,4.5926048952000365,-1.281098140125187,92.69533551189448,-30.0,4.0,2,1.5,False,True,2.380313965147842,4,43.486743799168835,650.32,in_progress,0.0
260,14.0,4.584818291468999,-1.1092077609221023,92.60619390363952,0.0,4.0,8,1.5,False,True,2.7726773625620225,5,43.486743799168835,650.384,in_progress,0.0
260,15.0,4.579972518812549,-0.9101388174323541,91.84864841244806,-15.0,1.3333333333333333,3,1.5,False,True,3.227502282971918,6,43.486743799168835,650.451,in_progress,0.0
260,16.0,4.58102962066829,-0.7363392478091453,91.12123430821775,-15.0,4.0,5,1.5,False,True,3.626215869330044,6,43.486743799168835,650.516,in_progress,0.0
260,17.0,4.592300910076155,-0.5395501095675861,88.16186580165751,0.0,2.6666666666666665,7,1.5,False,True,4.079866240208684,7,43.486743799168835,650.585,in_progress,0.0
260,18.0,4.612698273266535,-0.33740196932713584,85.16329846104549,-15.0,4.0,5,1.5,False,True,4.5470061962266435,8,43.486743799168835,650.651,in_progress,0.0
260,19.0,4.635842033216001,-0.16337098603973355,83.36280244505807,15.0,2.6666666666666665,10,1.5,False,True,4.950337248897687,9,43.486743799168835,650.729,in_progress,0.0
260,20.0,4.67995130876912,0.05320329519331034,79.43600493895794,30.0,1.3333333333333333,12,1.5,False,True,5.454572358627031,9,43.486743799168835,650.788,in_progress,0.0
260,21.0,4.708052668257851,0.20549345873305824,79.19394819654825,30.0,4.0,14,1.5,False,True,5.808639256995268,10,43.486743799168835,650.847,in_progress,0.0
260,22.0,4.730837687553254,0.37894815824019745,81.15214004994885,30.0,2.6666666666666665,13,1.5,False,True,6.2105253108888725,11,43.486743799168835,650.922,in_progress,0.0
