Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,402.0,18.0,30.0,402.0,0.0,47.202999999999996,0.0,0.0,40.65440225601196,,,,,,,,,,,,,,,,,,,,,4.445904862931178,1.9282866063130883,5.98579046034684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,416.0,19.0,14.0,416.0,0.0,18.302000000000007,0.0,0.0,42.398234128952026,,,,,,,,,,,,,,,,,,,,,3.366376812839129,1.9663673709536873,5.7733905598486555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,435.0,20.0,19.0,435.0,0.0,27.802000000000007,0.0,0.0,44.508548736572266,,,,,,,,,,,,,,,,,,,,,3.9650579973229605,1.9938632467925534,5.951316066040132,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,21.0,1.0,21.0,456.0,0.0,25.90400000000001,0.0,0.0,118.86316132545471,,,,,,,,,,,,,,,,,,,,,3.3209010469594205,2.0681933115083124,5.886968176795322,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,46.0,2.0,25.0,481.0,0.0,35.803999999999995,0.0,0.0,121.55676579475403,,,,,,,,,,,,,,,,,,,,,3.9702011142422693,2.218731908764097,5.9808021897507,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,63.0,3.0,17.0,498.0,0.0,22.703000000000007,0.0,0.0,123.39241909980774,,,,,,,,,,,,,,,,,,,,,3.537540734530819,2.1419053439162923,5.899691829969636,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,87.0,4.0,24.0,522.0,0.0,33.403,0.0,0.0,126.02175378799438,,,,,,,,,,,,,,,,,,,,,3.8410485824768856,1.8528837823953073,5.891374624320918,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,105.0,5.0,18.0,540.0,0.0,21.80400000000001,0.0,0.0,127.88500189781189,,,,,,,,,,,,,,,,,,,,,3.194126967985449,2.168721641214158,5.863766172639935,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,147.0,6.0,42.0,582.0,0.0,65.80300000000001,0.0,0.0,132.13627934455872,,,,,,,,,,,,,,,,,,,,,4.501601124671695,1.681792146221846,5.984677071453151,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,164.0,7.0,17.0,599.0,0.0,22.303000000000008,0.0,0.0,133.96584725379944,,,,,,,,,,,,,,,,,,,,,3.467629876162575,2.1404217179180036,5.892824272806366,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
